City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint helena,-15.95,-5.7,19.96,66,69,5.81,SH,1682365866
83,alice springs,-23.7,133.8833,10.75,87,0,3.2,AU,1682365866
84,alesund,62.4723,6.1549,3.51,69,75,9.26,NO,1682365866
85,carrizo springs,28.5219,-99.8606,20.97,56,100,2.29,US,1682365866
86,kodiak,57.79,-152.4072,4.73,38,0,6.17,US,1682365867
87,inari,68.906,27.0288,-2.89,93,75,0.45,FI,1682365867
88,rondonopolis,-16.4708,-54.6356,30.05,56,55,2.61,BR,1682365569
89,rangkasbitung,-6.3591,106.2494,24.72,93,88,0.59,ID,1682365867
90,aasiaat,68.7098,-52.8699,0.13,93,93,2.59,GL,1682365867
91,longyearbyen,78.2186,15.6401,-8.09,67,0,3.09,SJ,1682365868
92,egilsstadir,65.2653,-14.3948,-1.05,69,75,6.17,IS,1682365868
93,hermanus,-34.4187,19.2345,13.78,87,0,4.9,ZA,1682365868
94,yeppoon,-23.1333,150.7333,18.88,68,82,8.77,AU,1682365869
95,acapulco de juarez,16.8634,-99.8901,31.9,58,20,5.14,MX,1682365803
96,colonia,50.9333,6.95,10.54,71,40,5.14,DE,1682365869
97,arno,60.1167,18.6333,0.99,87,100,3.55,SE,1682365869
98,wailua homesteads,22.0669,-159.378,24.51,82,20,2.06,US,1682365595
99,kaa-khem,51.6833,94.7333,3.32,51,68,2.2,RU,1682365869
100,santa marta,11.2408,-74.199,31.05,60,75,3.6,CO,1682365729
101,port elizabeth,-33.918,25.5701,20.61,89,75,5.66,ZA,1682365637
102,barra de santo antonio,-9.4047,-35.5072,26.6,81,96,3.3,BR,1682365870
103,badger,64.8,-147.5333,-8.07,50,75,5.66,US,1682365870
104,tlahualilo de zaragoza,26.1167,-103.45,27.97,19,0,1.18,MX,1682365870
105,afaahiti,-17.75,-149.2833,27.93,82,88,5.2,PF,1682365870
106,ciudad guayana,8.3533,-62.6528,33.07,58,94,1.59,VE,1682365871
107,bilibino,68.0546,166.4372,-9.84,67,1,1.65,RU,1682365871
108,dzhalagash,45.0833,64.6667,17.02,33,7,6.2,KZ,1682365871
109,abancay,-13.6339,-72.8814,21.64,56,46,2.32,PE,1682365871
110,narayangarh,30.4833,77.1333,23.25,31,6,2.39,IN,1682365872
